유형,건수,처리,파일럿 근거
? 자리표,5801,자동,①②③ 전부 통과 — 어댑터가 %s 로 변환
"datetime('now',...)",269,자동*,어댑터 변환 가능 · *시간대 규정 확인 필요
"date('now',...)",15,자동*,동일
strftime,137,자동,to_char 로 변환 — ③에서 통과
INSERT OR IGNORE,30,자동,ON CONFLICT DO NOTHING
INSERT OR REPLACE,2,사람,어느 키로 충돌 판정할지 결정 필요
LIKE,259,사람,★①에서 실증: 소문자 검색 490건→0건. ILIKE 여부 판단
last_insert_rowid,38,사람,★③: RETURNING 으로 구조 변경
PRAGMA,205,사람,★④: information_schema 로 함수 재작성
sqlite_master,30,사람,information_schema 로 교체
rowid,3,사람,PG에 없는 개념 — 대체 설계
ALTER TABLE 자동증설,214,사람,기동 시 자동변경 금지 → 마이그레이션 도구
VACUUM,11,사람,autovacuum 으로 대체
AUTOINCREMENT,135,자동,IDENTITY — 리허설에서 149표 통과
sqlite3.connect,21,사람,연결 관리 계층 교체

자동 변환 가능,6387,,
사람 판단 필요,783,,
