객체,오류,분류·사유
FK issues.related_change_id->changes,"foreign key constraint ""issues_related_change_id_fkey"" cannot be implemented",참조 양쪽 타입 불일치 — 컬럼 타입 정렬 필요
FK project_items.order_id->orders,"insert or update on table ""project_items"" violates foreign key constraint ""project_items_order_id_fkey""",데이터 무결성 — 유령행이 없는 부모를 참조(§9 정제 후 성립)
FK project_items.project_id->projects,"insert or update on table ""project_items"" violates foreign key constraint ""project_items_project_id_fkey""",데이터 무결성 — 유령행이 없는 부모를 참조(§9 정제 후 성립)
FK project_workflow.template_id->workflow_templates,"foreign key constraint ""project_workflow_template_id_fkey"" cannot be implemented",참조 양쪽 타입 불일치 — 컬럼 타입 정렬 필요
FK project_workflow_nodes.node_code->workflow_nodes_master,"there is no unique constraint matching given keys for referenced table ""workflow_nodes_master""",참조 대상 컬럼에 UNIQUE 없음 — 원본 스키마 설계 확인 필요
FK workflow_template_nodes.node_code->workflow_nodes_master,"there is no unique constraint matching given keys for referenced table ""workflow_nodes_master""",참조 대상 컬럼에 UNIQUE 없음 — 원본 스키마 설계 확인 필요
FK workflow_template_nodes.template_id->workflow_templates,"foreign key constraint ""workflow_template_nodes_template_id_fkey"" cannot be implemented",참조 양쪽 타입 불일치 — 컬럼 타입 정렬 필요
view weekly_summary,"function date(text, text) does not exist","SQLite 전용 날짜 산술(DATE(x,'-N day')·%w) — PG 문법으로 재작성 필요(사람 판단)"
trigger trg_oi_due_orig_ins,SQLite 트리거 — PG는 트리거함수+트리거로 재작성 필요,결정 대기 — PG 트리거로 이관 vs 애플리케이션 변경이력(WP-08)으로 대체
trigger trg_oi_due_orig_upd,SQLite 트리거 — PG는 트리거함수+트리거로 재작성 필요,결정 대기 — PG 트리거로 이관 vs 애플리케이션 변경이력(WP-08)으로 대체
